,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,short_album_name,release_date,album_id
311,0.382,0.041,0.0,-24.792,1.0,0.0384,0.977,0.929,0.114,0.112,86.367,audio_features,2hoJY37T04Zkz1R8z1oLWb,spotify:track:2hoJY37T04Zkz1R8z1oLWb,https://api.spotify.com/v1/tracks/2hoJY37T04Zkz1R8z1oLWb,https://api.spotify.com/v1/audio-analysis/2hoJY37T04Zkz1R8z1oLWb,80000.0,4.0,"11 Bagatelles, Op. 119: No. 7, Allegro, ma non troppo (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
309,0.464,0.138,1.0,-21.848,1.0,0.0541,0.995,0.836,0.119,0.359,69.613,audio_features,18qr71YSwbe9bnf2v0Y9UQ,spotify:track:18qr71YSwbe9bnf2v0Y9UQ,https://api.spotify.com/v1/tracks/18qr71YSwbe9bnf2v0Y9UQ,https://api.spotify.com/v1/audio-analysis/18qr71YSwbe9bnf2v0Y9UQ,78514.0,4.0,"11 Bagatelles, Op. 119: No. 5, Risoluto (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
308,0.286,0.0132,9.0,-34.448,1.0,0.0495,0.994,0.923,0.0959,0.428,83.839,audio_features,5cNefdgVIpFdZ3KQIlqSLu,spotify:track:5cNefdgVIpFdZ3KQIlqSLu,https://api.spotify.com/v1/tracks/5cNefdgVIpFdZ3KQIlqSLu,https://api.spotify.com/v1/audio-analysis/5cNefdgVIpFdZ3KQIlqSLu,119820.0,5.0,"11 Bagatelles, Op. 119: No. 4, Andante cantabile (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
319,0.21,0.261,4.0,-18.076,0.0,0.0422,0.948,0.184,0.453,0.173,137.198,audio_features,6qKqIGeai883NzmbmlozYR,spotify:track:6qKqIGeai883NzmbmlozYR,https://api.spotify.com/v1/tracks/6qKqIGeai883NzmbmlozYR,https://api.spotify.com/v1/audio-analysis/6qKqIGeai883NzmbmlozYR,179893.0,3.0,"Missa solemnis, Op. 123: Gloria ""Gloria in excelsis Deo""","Beethoven: Missa solemnis, Op. 123","Beethoven: Missa solemnis, Op. 123",2021-02-05,2aDZzJ3MGBGPwVYJBEUB1E
306,0.311,0.0425,7.0,-30.72,1.0,0.0389,0.988,0.953,0.132,0.509,78.096,audio_features,5a8n2BU3L9vSS0olY2an25,spotify:track:5a8n2BU3L9vSS0olY2an25,https://api.spotify.com/v1/tracks/5a8n2BU3L9vSS0olY2an25,https://api.spotify.com/v1/audio-analysis/5a8n2BU3L9vSS0olY2an25,62333.0,4.0,"11 Bagatelles, Op. 119: No. 2, Andante con moto (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
305,0.318,0.0166,0.0,-32.118,0.0,0.047,0.995,0.86,0.0733,0.244,82.394,audio_features,5Et3zQvangfzsOzK654xHL,spotify:track:5Et3zQvangfzsOzK654xHL,https://api.spotify.com/v1/tracks/5Et3zQvangfzsOzK654xHL,https://api.spotify.com/v1/audio-analysis/5Et3zQvangfzsOzK654xHL,178167.0,4.0,"11 Bagatelles, Op. 119: No. 1, Allegretto (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
304,0.418,0.135,3.0,-23.161,1.0,0.0471,0.99,0.893,0.705,0.178,123.851,audio_features,3vwgDP0E8LP5yndH7Vk7kb,spotify:track:3vwgDP0E8LP5yndH7Vk7kb,https://api.spotify.com/v1/tracks/3vwgDP0E8LP5yndH7Vk7kb,https://api.spotify.com/v1/audio-analysis/3vwgDP0E8LP5yndH7Vk7kb,482096.0,4.0,"Piano Sonata No. 4 in E-Flat Major, Op. 7 ""Grand"": IV. Rondo. Poco allegretto e grazioso (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
303,0.423,0.0873,3.0,-25.335,1.0,0.0361,0.992,0.923,0.117,0.187,108.977,audio_features,2nEBJZJD8VREaEoCDoQGwW,spotify:track:2nEBJZJD8VREaEoCDoQGwW,https://api.spotify.com/v1/tracks/2nEBJZJD8VREaEoCDoQGwW,https://api.spotify.com/v1/audio-analysis/2nEBJZJD8VREaEoCDoQGwW,329000.0,4.0,"Piano Sonata No. 4 in E-Flat Major, Op. 7 ""Grand"": III. Allegro (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
302,0.463,0.0026,0.0,-29.472,1.0,0.0483,0.987,0.791,0.114,0.0757,134.581,audio_features,7ubq3atMLElUnJY8bogNnv,spotify:track:7ubq3atMLElUnJY8bogNnv,https://api.spotify.com/v1/tracks/7ubq3atMLElUnJY8bogNnv,https://api.spotify.com/v1/audio-analysis/7ubq3atMLElUnJY8bogNnv,530443.0,4.0,"Piano Sonata No. 4 in E-Flat Major, Op. 7 ""Grand"": II. Largo, con gran espressione (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
301,0.363,0.0833,0.0,-23.382,0.0,0.0388,0.992,0.922,0.128,0.228,121.709,audio_features,62TH817mqPuKueAvaLJXJK,spotify:track:62TH817mqPuKueAvaLJXJK,https://api.spotify.com/v1/tracks/62TH817mqPuKueAvaLJXJK,https://api.spotify.com/v1/audio-analysis/62TH817mqPuKueAvaLJXJK,537337.0,4.0,"Piano Sonata No. 4 in E-Flat Major, Op. 7 ""Grand"": I. Allegro molto e con brio (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
310,0.367,0.0403,7.0,-27.753,1.0,0.0394,0.993,0.926,0.0731,0.368,91.932,audio_features,6HDCL8l3vNXQVkF4ctsRSa,spotify:track:6HDCL8l3vNXQVkF4ctsRSa,https://api.spotify.com/v1/tracks/6HDCL8l3vNXQVkF4ctsRSa,https://api.spotify.com/v1/audio-analysis/6HDCL8l3vNXQVkF4ctsRSa,126636.0,4.0,"11 Bagatelles, Op. 119: No. 6, Andante - Allegretto (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
320,0.13,0.159,5.0,-19.656,1.0,0.0406,0.971,0.0289,0.158,0.152,70.763,audio_features,4WVILl2RvFQ6dILvdfv7lj,spotify:track:4WVILl2RvFQ6dILvdfv7lj,https://api.spotify.com/v1/tracks/4WVILl2RvFQ6dILvdfv7lj,https://api.spotify.com/v1/audio-analysis/4WVILl2RvFQ6dILvdfv7lj,152453.0,4.0,"Missa solemnis, Op. 123: Gloria ""Gratias agimus tibi propter magnam gloriam tuam""","Beethoven: Missa solemnis, Op. 123","Beethoven: Missa solemnis, Op. 123",2021-02-05,2aDZzJ3MGBGPwVYJBEUB1E
307,0.387,0.075,9.0,-24.985,1.0,0.0374,0.988,0.928,0.0619,0.327,74.367,audio_features,2aJLjZAk4qZDXGiVScLoSB,spotify:track:2aJLjZAk4qZDXGiVScLoSB,https://api.spotify.com/v1/tracks/2aJLjZAk4qZDXGiVScLoSB,https://api.spotify.com/v1/audio-analysis/2aJLjZAk4qZDXGiVScLoSB,97000.0,4.0,"11 Bagatelles, Op. 119: No. 3, À l'allemande (Live)",Beethoven Bookends (Live),Beethoven Bookends,2021-02-05,2lgdLb3GXdy6RzGU9woGa3
322,0.197,0.0786,5.0,-20.707,0.0,0.0337,0.983,0.103,0.109,0.0354,129.22,audio_features,2n1vX7RuZOHzHI8g5UdKxS,spotify:track:2n1vX7RuZOHzHI8g5UdKxS,https://api.spotify.com/v1/tracks/2n1vX7RuZOHzHI8g5UdKxS,https://api.spotify.com/v1/audio-analysis/2n1vX7RuZOHzHI8g5UdKxS,156987.0,4.0,"Missa solemnis, Op. 123: Gloria ""Qui sedes ad dexteram Patris""","Beethoven: Missa solemnis, Op. 123","Beethoven: Missa solemnis, Op. 123",2021-02-05,2aDZzJ3MGBGPwVYJBEUB1E
321,0.162,0.0847,2.0,-25.448,0.0,0.0388,0.987,0.00118,0.389,0.0383,69.473,audio_features,2vPRFCz5eP9uP4HOdxsSCe,spotify:track:2vPRFCz5eP9uP4HOdxsSCe,https://api.spotify.com/v1/tracks/2vPRFCz5eP9uP4HOdxsSCe,https://api.spotify.com/v1/audio-analysis/2vPRFCz5eP9uP4HOdxsSCe,147693.0,4.0,"Missa solemnis, Op. 123: Gloria ""Qui tollis peccata mundi""","Beethoven: Missa solemnis, Op. 123","Beethoven: Missa solemnis, Op. 123",2021-02-05,2aDZzJ3MGBGPwVYJBEUB1E
341,0.349,0.102,3.0,-20.047,1.0,0.0453,0.991,0.848,0.258,0.226,94.601,audio_features,7CxBFJKGP6bdCINkygxv0w,spotify:track:7CxBFJKGP6bdCINkygxv0w,https://api.spotify.com/v1/tracks/7CxBFJKGP6bdCINkygxv0w,https://api.spotify.com/v1/audio-analysis/7CxBFJKGP6bdCINkygxv0w,472053.0,4.0,"Trio for piano, clarinet and cello in E-Flat Major, Op. 38 (After Septet, Op. 20): VI. Andante con moto, alla marcia. Presto","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38",2021-02-05,5lRK4H5GtcQHsLHcxBWHAb
340,0.446,0.133,3.0,-19.155,1.0,0.0394,0.987,0.92,0.112,0.54,98.512,audio_features,7i8kcMeLqa6SceNGaTKcKx,spotify:track:7i8kcMeLqa6SceNGaTKcKx,https://api.spotify.com/v1/tracks/7i8kcMeLqa6SceNGaTKcKx,https://api.spotify.com/v1/audio-analysis/7i8kcMeLqa6SceNGaTKcKx,188333.0,4.0,"Trio for piano, clarinet and cello in E-Flat Major, Op. 38 (After Septet, Op. 20): V. Scherzo. Allegro molto e vivace","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38",2021-02-05,5lRK4H5GtcQHsLHcxBWHAb
339,0.39,0.0569,10.0,-24.382,1.0,0.0412,0.992,0.892,0.118,0.408,132.18,audio_features,7xCKSeBumkGmC29rVupDZe,spotify:track:7xCKSeBumkGmC29rVupDZe,https://api.spotify.com/v1/tracks/7xCKSeBumkGmC29rVupDZe,https://api.spotify.com/v1/audio-analysis/7xCKSeBumkGmC29rVupDZe,426347.0,4.0,"Trio for piano, clarinet and cello in E-Flat Major, Op. 38 (After Septet, Op. 20): IV. Andante con variazioni","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38","Beethoven: Trios for piano, clarinet and cello, Ops. 11 & 38",2021-02-05,5lRK4H5GtcQHsLHcxBWHAb
